QuantiteIngredient,FraicheurMax,FraicheurMin,IDIngredient,IDPotion,IDProposition,IDOnguent
1,10,5,13,2,,
2,20,5,30,2,,
3,30,2,51,2,,
3,10,5,13,3,,
3,8,2,29,3,,
3,7,2,50,3,,
1,9,5,17,,,1
2,7,3,56,,,1
1,18,5,2,40,,
2,22,1,28,40,,
1,40,5,55,40,,
2,9,5,17,,,2
1,32,24,24,,,2
1,14,10,51,,,2
2,9,5,17,31,,
1,32,24,24,31,,
1,14,10,51,31,,
3,15,11,13,,,6
3,37,31,42,,,6
1,50,40,10,13,,
2,20,10,54,13,,
1,30,15,49,13,,
3,10,6,19,,,8
3,25,21,25,,,8
3,5,3,43,,,8
3,7,3,15,25,,
1,27,19,17,25,,
2,30,10,34,25,,
2,25,11,61,25,,
1,44,36,2,,,4
2,1,1,28,,,4
1,43,35,55,,,4
1,10,6,19,,,7
3,44,36,33,,,7
2,38,34,61,,,7
2,20,16,9,,,5
3,19,15,26,,,5
2,18,14,50,,,5
2,10,5,40,,1,
1,10,5,12,,1,
3,10,5,8,,1,
2,5,2,2,,2,
5,2,1,3,,2,
3,20,10,5,,2,
1,6,4,20,,3,
1,7,3,19,,3,
1,8,2,5,,3,
2,27,19,13,16,,
1,38,24,34,16,,
1,17,5,46,16,,
1,13,9,16,,,9
2,19,15,23,,,9
2,33,29,48,,,9
1,1,1,10,,,10
2,40,34,27,,,10
1,11,7,49,,,10
2,19,15,9,35,,
3,32,24,57,35,,
2,10,6,50,35,,
1,38,32,3,15,,
3,19,15,23,15,,
3,5,3,43,15,,
3,42,27,7,7,,
1,26,13,23,7,,
3,10,2,51,7,,
